Title,Artist,Year,Genre,Popularity
cotton candy,YUNGBLUD,2020,rock,54
Kick You When You're Down,AC/DC,2020,rock,53
Вояджер-1,Noize MC,2020,rock,45
Syntynyt suruun ja puettu pettymyksin,Maustetytöt,2020,rock,41
The Valley of The Pagans (feat. Beck),Gorillaz,2020,rock,55
Brooklyn Bridge To Chorus,The Strokes,2020,rock,62
BBY,Two Feet,2020,rock,49
What It Takes,Adelitas Way,2020,rock,56
Silver Lining,The Neighbourhood,2020,rock,53
Carry On,The Score,2020,rock,52
Waterfalls Coming Out Your Mouth,Glass Animals,2020,rock,57
Fucking With My Head,Palaye Royale,2020,rock,46
How Deep Is Your Love,Bee Gees,2020,rock,61
Patience,Chris Cornell,2020,rock,58
Ordinary Man (feat. Elton John),Ozzy Osbourne,2020,rock,53
Phobia,Nothing But Thieves,2020,rock,48
Better Days,OneRepublic,2020,rock,55
"god save me, but don't drown me out",YUNGBLUD,2020,rock,52
"Eat, Sleep, Wake (Nothing But You)",Bombay Bicycle Club,2020,rock,56
I Don't Wanna Be Me,Type O Negative,2020,rock,42
Désolé (feat. Fatoumata Diawara) - Extended Version,Gorillaz,2020,rock,54
Hell and Back,Self Deception,2020,rock,54
Through The Mists Of Time,AC/DC,2020,rock,51
Realize,AC/DC,2020,rock,50
Can You Afford to Be An Individual?,Nothing But Thieves,2020,rock,49
Nothing Personal,Des Rocs,2020,rock,46
The Divine Chord,The Avalanches,2020,rock,56
Riptide,grandson,2020,rock,49
It Might Be Time,Tame Impala,2020,rock,56
The Journey Starts Today (Theme from Pokémon Journeys),Walk off the Earth,2020,rock,56
Sympathy For The Devil,Guns N' Roses,2020,rock,55
Everlasting Light,The Black Keys,2020,rock,52
Vampire,Dominic Fike,2020,rock,61
Brightside,Arrested Youth,2020,rock,53
Free If We Want It,Nothing But Thieves,2020,rock,46
Grey,Two Feet,2020,rock,46
In the End,Linkin Park,2020,rock,49
Тиша,Fiolet,2020,rock,43
Bad Decisions,The Strokes,2020,rock,61
The Children of Coyote Woman,All Them Witches,2020,rock,48
Wurli,Dominic Fike,2020,rock,60
Go West,Pet Shop Boys,2020,rock,52
Headless,Deftones,2020,rock,55
Urantia,Deftones,2020,rock,54
A Partir De Hoy,David Bisbal,2020,rock,69
Robbery,Lime Cordiale,2020,rock,62
Good Morning World!,BURNOUT SYNDROMES,2020,rock,57
Aries (feat. Peter Hook and Georgia),Gorillaz,2020,rock,54
Scars that I'm Hiding,From Ashes to New,2020,rock,54
The Champion,The Score,2020,rock,52
It’s All So Incredibly Loud,Glass Animals,2020,rock,52
If You’re Too Shy (Let Me Know),The 1975,2020,rock,63
Vans - King Kavalier Remix,Arrested Youth,2020,rock,46
At The Door,The Strokes,2020,rock,58
баночка с окурками,КОСМОНАВТОВ НЕТ,2020,rock,45
Lost Horse,Asaf Avidan,2020,rock,51
xXXi_wud_nvrstøp_ÜXXx (Remix) [feat. Tommy Cash & Hannah Diamond],100 gecs,2020,rock,44
Moral Panic,Nothing But Thieves,2020,rock,45
Hot Sugar,Glass Animals,2020,rock,54
I Don't Belong,Fontaines D.C.,2020,rock,54
Living In A Ghost Town,The Rolling Stones,2020,rock,48
On Track,Tame Impala,2020,rock,54
Eternal Summer,The Strokes,2020,rock,59
Glimmer,Tame Impala,2020,rock,54
Politics & Violence,Dominic Fike,2020,rock,59
Can't Help Falling in Love,Elvis Presley,2020,rock,54
Under The Table,Fiona Apple,2020,rock,53
She Wants Me (To Be Loved),The Happy Fits,2020,rock,57
Japanese Posters,Rebounder,2020,rock,56
Visions,Loving,2020,rock,57
Patience,Chris Cornell,2020,rock,52
Чужое горе,Pornofilmy,2020,rock,40
На Моей Луне,Мёртвые Дельфины,2020,rock,40
Blue,NewDad,2020,rock,49
Not The Same Anymore,The Strokes,2020,rock,58
Smoke You Out,Self Deception,2020,rock,50
Шанс,Дайте танк (!),2020,rock,43
Be Your Drug,Circa Waves,2020,rock,49
Шанс,Дайте танк (!),2020,rock,43
Be Your Drug,Circa Waves,2020,rock,49
Teenage Dirtbag (Acoustic),Wheatus,2020,rock,52
Can I Believe You,Fleet Foxes,2020,rock,54
unlasting,LiSA,2020,rock,56
Lamb's Wool,Foster The People,2020,rock,57
Come Here,Dominic Fike,2020,rock,53
BODY/PRISON,HEALTH,2020,rock,46
Уроки любви,Pornofilmy,2020,rock,40
Roll Me Up and Smoke Me When I Die - Live,Willie Nelson,2020,rock,61
Didn't I,OneRepublic,2020,rock,51
Inochi No Tabekata,Eve,2020,rock,54
Zen (with K.Flay & grandson),X Ambassadors,2020,rock,51
Double Negative (Skeleton Milkshake),Dominic Fike,2020,rock,57
Dark Days [Feat. Sylvan Esso],Local Natives,2020,rock,53
Break My Baby,KALEO,2020,rock,47
Wherever You Are,Kodaline,2020,rock,51
Money,Lime Cordiale,2020,rock,59
Suéltala,Jorge Luis Chacin,2020,rock,44
Shooting Stars - in the Woods,Rival Sons,2020,rock,48
Driving In Style,Thundermother,2020,rock,51
Пиво-Пиво-Пиво,KnyaZz,2020,rock,40
Don't Let Me Down,Milky Chance,2020,rock,54
The Well,Marcus King,2020,rock,57
Альтернатива,Дайте танк (!),2020,rock,42
Caution,The Killers,2020,rock,56
Kaufmann und Maid,Saltatio Mortis,2020,rock,52
Wake Up,Smash Into Pieces,2020,rock,48
One Of Us,Joan Osborne,2020,rock,52
Suicide Solution,Ozzy Osbourne,2020,rock,49
Мёртвый Город,Мёртвые Дельфины,2020,rock,38
Move Me,Badflower,2020,rock,49
PHOENIX,BURNOUT SYNDROMES,2020,rock,56
Wildflowers & Wine,Marcus King,2020,rock,61
第六感,Reol,2020,rock,57
Goodbye to Romance,Ozzy Osbourne,2020,rock,50
Ptaha Fred,The Unsleeping,2020,rock,40
Сука війна!,Скрябін,2020,rock,39
炎,LiSA,2020,rock,60
Televised Mind,Fontaines D.C.,2020,rock,52
I Want More,KALEO,2020,rock,49
Дядя Володя,Pornofilmy,2020,rock,37
Seni Dert Etmeler,Madrigal,2020,rock,67
Idol (feat. Tech N9ne),Hollywood Undead,2020,rock,51
Only She Knows,Loving,2020,rock,53
Шампанські очі,Pianoboy,2020,rock,38
Do I Wanna Know? - Live,Arctic Monkeys,2020,rock,46
Infinite,Silverstein,2020,rock,52
Again,Black Stone Cherry,2020,rock,50
Uzunlar - V1,Evdeki Saat,2020,rock,63
I Want To Know What Love Is - BLOND:ISH Sunrise Jungle Rework,Foreigner,2020,rock,49
Живи без остатка,Noize MC,2020,rock,39
With Arms Wide Open,Creed,2020,rock,51
Припустим,The Unsleeping,2020,rock,39
Can't Be Mine,Bad Nerves,2020,rock,45
Kokoroyohou,Eve,2020,rock,53
"All For Love - From ""The Three Musketeers"" Soundtrack",Bryan Adams,2020,rock,48
