Title,Artist,Year,Genre,Popularity,Formatted_Artist,Formatted_Title
Rock Lobster (Single Version),The B-52's,2020,rock,41,the_b52s,rock_lobster_single_version
Demon Fire,AC/DC,2020,rock,58,acdc,demon_fire
Strach XXI Wieku,Dr Misio,2020,rock,31,dr_misio,strach_xxi_wieku
Space,Biffy Clyro,2020,rock,56,biffy_clyro,space
acting like that (feat. Machine Gun Kelly),YUNGBLUD,2020,rock,60,yungblud,acting_like_that_feat_machine_gun_kelly
Why Are Sundays So Depressing,The Strokes,2020,rock,66,the_strokes,why_are_sundays_so_depressing
Over the Influence,The Neighbourhood,2020,rock,54,the_neighbourhood,over_the_influence
Parasite Eve,Bring Me The Horizon,2020,rock,57,bring_me_the_horizon,parasite_eve
mars,YUNGBLUD,2020,rock,56,yungblud,mars
BxMxC,BABYMETAL,2020,rock,56,babymetal,bxmxc
Waterfall,Dynazty,2020,rock,52,dynazty,waterfall
Monsters (feat. Demi Lovato and blackbear),All Time Low,2020,rock,64,all_time_low,monsters_feat_demi_lovato_and_blackbear
Ohms,Deftones,2020,rock,61,deftones,ohms
Hang on to Yourself,Palaye Royale,2020,rock,50,palaye_royale,hang_on_to_yourself
Lost in Translation,The Neighbourhood,2020,rock,55,the_neighbourhood,lost_in_translation
Teardrops,Bring Me The Horizon,2020,rock,57,bring_me_the_horizon,teardrops
Ludens,Bring Me The Horizon,2020,rock,55,bring_me_the_horizon,ludens
Real Love Song,Nothing But Thieves,2020,rock,52,nothing_but_thieves,real_love_song
Circle The Drain,Machine Head,2020,rock,54,machine_head,circle_the_drain
Beautiful Boy (Darling Boy) - Ultimate Mix,John Lennon,2020,rock,57,john_lennon,beautiful_boy_darling_boy_ultimate_mix
Somebody That I Used to Know,Three Days Grace,2020,rock,57,three_days_grace,somebody_that_i_used_to_know
Likewise,RAT BOY,2020,rock,49,rat_boy,likewise
Feel Good Inc.,Gorillaz,2020,rock,50,gorillaz,feel_good_inc
Panic,From Ashes to New,2020,rock,61,from_ashes_to_new,panic
One Day The Only Butterflies Left Will Be In Your Chest As You March Towards Your Death (feat. Amy Lee),Bring Me The Horizon,2020,rock,56,bring_me_the_horizon,one_day_the_only_butterflies_left_will_be_in_your_chest_as_you_march_towards_your_death_feat_amy_lee
All Eyes on You,Smash Into Pieces,2020,rock,56,smash_into_pieces,all_eyes_on_you
Glory,The Score,2020,rock,57,the_score,glory
The Twist,Chubby Checker,2020,rock,62,chubby_checker,the_twist
Pink,Two Feet,2020,rock,52,two_feet,pink
I See Red,Everybody Loves an Outlaw,2020,rock,51,everybody_loves_an_outlaw,i_see_red
Here We Go Again,The Neighbourhood,2020,rock,54,the_neighbourhood,here_we_go_again
Eto proidiot,Pornofilmy,2020,rock,47,pornofilmy,eto_proidiot
Ceremony,Deftones,2020,rock,58,deftones,ceremony
sekundu nazad,Nochnye Snaipery,2020,rock,48,nochnye_snaipery,sekundu_nazad
Black - Live MTV Unplugged,Pearl Jam,2020,rock,61,pearl_jam,black_live_mtv_unplugged
Momentary Bliss (feat. slowthai and Slaves),Gorillaz,2020,rock,56,gorillaz,momentary_bliss_feat_slowthai_and_slaves
Pac-Man (feat. ScHoolboy Q),Gorillaz,2020,rock,57,gorillaz,pacman_feat_schoolboy_q
Unperson,Nothing But Thieves,2020,rock,49,nothing_but_thieves,unperson
"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,2020,rock,63,bee_gees,night_fever_from_saturday_night_fever_soundtrack
Obey (with YUNGBLUD),Bring Me The Horizon,2020,rock,54,bring_me_the_horizon,obey_with_yungblud
One More Year,Tame Impala,2020,rock,57,tame_impala,one_more_year
She's A Rainbow,The Rolling Stones,2020,rock,62,the_rolling_stones,shes_a_rainbow
Instant Destiny,Tame Impala,2020,rock,57,tame_impala,instant_destiny
Funnel Of Love,Wanda Jackson,2020,rock,55,wanda_jackson,funnel_of_love
This is Our Life,Des Rocs,2020,rock,49,des_rocs,this_is_our_life
porarisu,BLUE ENCOUNT,2020,rock,63,blue_encount,porarisu
Self Control - Extended Version,Laura Branigan,2020,rock,54,laura_branigan,self_control_extended_version
Anxiety,Palaye Royale,2020,rock,49,palaye_royale,anxiety
cotton candy,YUNGBLUD,2020,rock,55,yungblud,cotton_candy
Genesis,Deftones,2020,rock,59,deftones,genesis
Syntynyt suruun ja puettu pettymyksin,Maustetytot,2020,rock,41,maustetytot,syntynyt_suruun_ja_puettu_pettymyksin
BBY,Two Feet,2020,rock,50,two_feet,bby
The Valley of The Pagans (feat. Beck),Gorillaz,2020,rock,56,gorillaz,the_valley_of_the_pagans_feat_beck
Voiadzher-1,Noize MC,2020,rock,45,noize_mc,voiadzher1
Kick You When You're Down,AC/DC,2020,rock,53,acdc,kick_you_when_youre_down
Brooklyn Bridge To Chorus,The Strokes,2020,rock,63,the_strokes,brooklyn_bridge_to_chorus
Carry On,The Score,2020,rock,53,the_score,carry_on
What It Takes,Adelitas Way,2020,rock,56,adelitas_way,what_it_takes
Witch's Spell,AC/DC,2020,rock,53,acdc,witchs_spell
How Deep Is Your Love,Bee Gees,2020,rock,62,bee_gees,how_deep_is_your_love
Patience,Chris Cornell,2020,rock,58,chris_cornell,patience
Waterfalls Coming Out Your Mouth,Glass Animals,2020,rock,57,glass_animals,waterfalls_coming_out_your_mouth
strawberry lipstick,YUNGBLUD,2020,rock,51,yungblud,strawberry_lipstick
Blinding Ornaments,Vulkan,2020,rock,47,vulkan,blinding_ornaments
Fucking With My Head,Palaye Royale,2020,rock,47,palaye_royale,fucking_with_my_head
Ordinary Man (feat. Elton John),Ozzy Osbourne,2020,rock,53,ozzy_osbourne,ordinary_man_feat_elton_john
Better Days,OneRepublic,2020,rock,56,onerepublic,better_days
"god save me, but don't drown me out",YUNGBLUD,2020,rock,53,yungblud,god_save_me_but_dont_drown_me_out
Desole (feat. Fatoumata Diawara) - Extended Version,Gorillaz,2020,rock,55,gorillaz,desole_feat_fatoumata_diawara_extended_version
Phobia,Nothing But Thieves,2020,rock,48,nothing_but_thieves,phobia
"Eat, Sleep, Wake (Nothing But You)",Bombay Bicycle Club,2020,rock,57,bombay_bicycle_club,eat_sleep_wake_nothing_but_you
I Don't Wanna Be Me,Type O Negative,2020,rock,42,type_o_negative,i_dont_wanna_be_me
Nothing Personal,Des Rocs,2020,rock,47,des_rocs,nothing_personal
Through The Mists Of Time,AC/DC,2020,rock,52,acdc,through_the_mists_of_time
Everlasting Light,The Black Keys,2020,rock,52,the_black_keys,everlasting_light
Can You Afford to Be An Individual?,Nothing But Thieves,2020,rock,49,nothing_but_thieves,can_you_afford_to_be_an_individual
The Journey Starts Today (Theme from Pokemon Journeys),Walk off the Earth,2020,rock,57,walk_off_the_earth,the_journey_starts_today_theme_from_pokemon_journeys
Sympathy For The Devil,Guns N' Roses,2020,rock,56,guns_n_roses,sympathy_for_the_devil
It Might Be Time,Tame Impala,2020,rock,57,tame_impala,it_might_be_time
Brightside,Arrested Youth,2020,rock,54,arrested_youth,brightside
Riptide,grandson,2020,rock,50,grandson,riptide
The Divine Chord,The Avalanches,2020,rock,56,the_avalanches,the_divine_chord
Vampire,Dominic Fike,2020,rock,61,dominic_fike,vampire
Grey,Two Feet,2020,rock,47,two_feet,grey
Bad Decisions,The Strokes,2020,rock,62,the_strokes,bad_decisions
Headless,Deftones,2020,rock,56,deftones,headless
Go West,Pet Shop Boys,2020,rock,52,pet_shop_boys,go_west
Wurli,Dominic Fike,2020,rock,61,dominic_fike,wurli
Free If We Want It,Nothing But Thieves,2020,rock,46,nothing_but_thieves,free_if_we_want_it
The Children of Coyote Woman,All Them Witches,2020,rock,48,all_them_witches,the_children_of_coyote_woman
Tisha,Fiolet,2020,rock,43,fiolet,tisha
Scars that I'm Hiding,From Ashes to New,2020,rock,55,from_ashes_to_new,scars_that_im_hiding
A Partir De Hoy,David Bisbal,2020,rock,70,david_bisbal,a_partir_de_hoy
Robbery,Lime Cordiale,2020,rock,63,lime_cordiale,robbery
Urantia,Deftones,2020,rock,55,deftones,urantia
Good Morning World!,BURNOUT SYNDROMES,2020,rock,58,burnout_syndromes,good_morning_world
Vans - King Kavalier Remix,Arrested Youth,2020,rock,46,arrested_youth,vans_king_kavalier_remix
I Don't Belong,Fontaines D.C.,2020,rock,55,fontaines_dc,i_dont_belong
banochka s okurkami,KOSMONAVTOV NET,2020,rock,45,kosmonavtov_net,banochka_s_okurkami
It's All So Incredibly Loud,Glass Animals,2020,rock,53,glass_animals,its_all_so_incredibly_loud
If You're Too Shy (Let Me Know),The 1975,2020,rock,63,the_1975,if_youre_too_shy_let_me_know
At The Door,The Strokes,2020,rock,59,the_strokes,at_the_door
Lost Horse,Asaf Avidan,2020,rock,51,asaf_avidan,lost_horse
Politics & Violence,Dominic Fike,2020,rock,60,dominic_fike,politics_violence
Hot Sugar,Glass Animals,2020,rock,55,glass_animals,hot_sugar
Eternal Summer,The Strokes,2020,rock,59,the_strokes,eternal_summer
xXXi_wud_nvrstop_UXXx (Remix) [feat. Tommy Cash & Hannah Diamond],100 gecs,2020,rock,44,100_gecs,xxxi_wud_nvrstop_uxxx_remix_feat_tommy_cash_hannah_diamond
Moral Panic,Nothing But Thieves,2020,rock,45,nothing_but_thieves,moral_panic
Can't Help Falling in Love,Elvis Presley,2020,rock,54,elvis_presley,cant_help_falling_in_love
Tomorrow's Dust,Tame Impala,2020,rock,54,tame_impala,tomorrows_dust
Glimmer,Tame Impala,2020,rock,55,tame_impala,glimmer
Under The Table,Fiona Apple,2020,rock,54,fiona_apple,under_the_table
She Wants Me (To Be Loved),The Happy Fits,2020,rock,57,the_happy_fits,she_wants_me_to_be_loved
Visions,Loving,2020,rock,58,loving,visions
Japanese Posters,Rebounder,2020,rock,57,rebounder,japanese_posters
Patience,Chris Cornell,2020,rock,52,chris_cornell,patience
Chuzhoe gore,Pornofilmy,2020,rock,41,pornofilmy,chuzhoe_gore
Zombie - Remastered 2020,The Cranberries,2020,rock,50,the_cranberries,zombie_remastered_2020
Not The Same Anymore,The Strokes,2020,rock,59,the_strokes,not_the_same_anymore
Na Moei Lune,Miortvye Del'finy,2020,rock,40,miortvye_delfiny,na_moei_lune
unlasting,LiSA,2020,rock,57,lisa,unlasting
Blue,NewDad,2020,rock,50,newdad,blue
Lamb's Wool,Foster The People,2020,rock,58,foster_the_people,lambs_wool
Shans,Daite tank (!),2020,rock,44,daite_tank_,shans
Uroki liubvi,Pornofilmy,2020,rock,41,pornofilmy,uroki_liubvi
Roll Me Up and Smoke Me When I Die - Live,Willie Nelson,2020,rock,62,willie_nelson,roll_me_up_and_smoke_me_when_i_die_live
Inochi No Tabekata,Eve,2020,rock,54,eve,inochi_no_tabekata
BODY/PRISON,HEALTH,2020,rock,46,health,bodyprison
Be Your Drug,Circa Waves,2020,rock,49,circa_waves,be_your_drug
Didn't I,OneRepublic,2020,rock,51,onerepublic,didnt_i
Can I Believe You,Fleet Foxes,2020,rock,55,fleet_foxes,can_i_believe_you
Teenage Dirtbag (Acoustic),Wheatus,2020,rock,53,wheatus,teenage_dirtbag_acoustic
Come Here,Dominic Fike,2020,rock,53,dominic_fike,come_here
Money,Lime Cordiale,2020,rock,60,lime_cordiale,money
Zen (with K.Flay & grandson),X Ambassadors,2020,rock,51,x_ambassadors,zen_with_kflay_grandson
The Well,Marcus King,2020,rock,58,marcus_king,the_well
Driving In Style,Thundermother,2020,rock,52,thundermother,driving_in_style
Dark Days [Feat. Sylvan Esso],Local Natives,2020,rock,53,local_natives,dark_days_feat_sylvan_esso
Double Negative (Skeleton Milkshake),Dominic Fike,2020,rock,58,dominic_fike,double_negative_skeleton_milkshake
Break My Baby,KALEO,2020,rock,48,kaleo,break_my_baby
Wherever You Are,Kodaline,2020,rock,52,kodaline,wherever_you_are
Conticinio,Guitarricadelafuente,2020,rock,59,guitarricadelafuente,conticinio
