Title,Artist,Year,Genre,Popularity,track_id
"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,2020,rock,62,113
One More Year,Tame Impala,2020,rock,57,114
Obey (with YUNGBLUD),Bring Me The Horizon,2020,rock,53,115
Instant Destiny,Tame Impala,2020,rock,57,116
Anxiety,Palaye Royale,2020,rock,48,117
She's A Rainbow,The Rolling Stones,2020,rock,61,118
ポラリス,BLUE ENCOUNT,2020,rock,63,119
Genesis,Deftones,2020,rock,58,120
This is Our Life,Des Rocs,2020,rock,49,121
cotton candy,YUNGBLUD,2020,rock,54,122
Kick You When You're Down,AC/DC,2020,rock,53,123
Вояджер-1,Noize MC,2020,rock,45,124
Syntynyt suruun ja puettu pettymyksin,Maustetytöt,2020,rock,41,125
The Valley of The Pagans (feat. Beck),Gorillaz,2020,rock,55,126
Brooklyn Bridge To Chorus,The Strokes,2020,rock,62,127
BBY,Two Feet,2020,rock,49,128
What It Takes,Adelitas Way,2020,rock,56,129
Silver Lining,The Neighbourhood,2020,rock,53,130
Carry On,The Score,2020,rock,52,131
Waterfalls Coming Out Your Mouth,Glass Animals,2020,rock,57,132
Fucking With My Head,Palaye Royale,2020,rock,46,133
How Deep Is Your Love,Bee Gees,2020,rock,61,134
Patience,Chris Cornell,2020,rock,58,135
Ordinary Man (feat. Elton John),Ozzy Osbourne,2020,rock,53,136
Phobia,Nothing But Thieves,2020,rock,48,137
Better Days,OneRepublic,2020,rock,55,138
"god save me, but don't drown me out",YUNGBLUD,2020,rock,52,139
"Eat, Sleep, Wake (Nothing But You)",Bombay Bicycle Club,2020,rock,56,140
I Don't Wanna Be Me,Type O Negative,2020,rock,42,141
Désolé (feat. Fatoumata Diawara) - Extended Version,Gorillaz,2020,rock,54,142
Hell and Back,Self Deception,2020,rock,54,143
Through The Mists Of Time,AC/DC,2020,rock,51,144
Realize,AC/DC,2020,rock,50,145
Can You Afford to Be An Individual?,Nothing But Thieves,2020,rock,49,146
Nothing Personal,Des Rocs,2020,rock,46,147
The Divine Chord,The Avalanches,2020,rock,56,148
Riptide,grandson,2020,rock,49,149
It Might Be Time,Tame Impala,2020,rock,56,150
The Journey Starts Today (Theme from Pokémon Journeys),Walk off the Earth,2020,rock,56,151
Sympathy For The Devil,Guns N' Roses,2020,rock,55,152
Everlasting Light,The Black Keys,2020,rock,52,153
Vampire,Dominic Fike,2020,rock,61,154
Brightside,Arrested Youth,2020,rock,53,155
Free If We Want It,Nothing But Thieves,2020,rock,46,156
Grey,Two Feet,2020,rock,46,157
In the End,Linkin Park,2020,rock,49,158
Тиша,Fiolet,2020,rock,43,159
Bad Decisions,The Strokes,2020,rock,61,160
The Children of Coyote Woman,All Them Witches,2020,rock,48,161
