Title,Artist,Year,Genre,Popularity
Anxiety,Palaye Royale,2020,rock,49
cotton candy,YUNGBLUD,2020,rock,55
Genesis,Deftones,2020,rock,59
Syntynyt suruun ja puettu pettymyksin,Maustetytot,2020,rock,41
BBY,Two Feet,2020,rock,50
The Valley of The Pagans (feat. Beck),Gorillaz,2020,rock,56
Voiadzher-1,Noize MC,2020,rock,45
Kick You When You're Down,AC/DC,2020,rock,53
Brooklyn Bridge To Chorus,The Strokes,2020,rock,63
Carry On,The Score,2020,rock,53
What It Takes,Adelitas Way,2020,rock,56
Witch's Spell,AC/DC,2020,rock,53
How Deep Is Your Love,Bee Gees,2020,rock,62
Patience,Chris Cornell,2020,rock,58
Waterfalls Coming Out Your Mouth,Glass Animals,2020,rock,57
strawberry lipstick,YUNGBLUD,2020,rock,51
Blinding Ornaments,Vulkan,2020,rock,47
Fucking With My Head,Palaye Royale,2020,rock,47
Ordinary Man (feat. Elton John),Ozzy Osbourne,2020,rock,53
Better Days,OneRepublic,2020,rock,56
"god save me, but don't drown me out",YUNGBLUD,2020,rock,53
Desole (feat. Fatoumata Diawara) - Extended Version,Gorillaz,2020,rock,55
Phobia,Nothing But Thieves,2020,rock,48
"Eat, Sleep, Wake (Nothing But You)",Bombay Bicycle Club,2020,rock,57
I Don't Wanna Be Me,Type O Negative,2020,rock,42
Nothing Personal,Des Rocs,2020,rock,47
Through The Mists Of Time,AC/DC,2020,rock,52
Everlasting Light,The Black Keys,2020,rock,52
Can You Afford to Be An Individual?,Nothing But Thieves,2020,rock,49
The Journey Starts Today (Theme from Pokemon Journeys),Walk off the Earth,2020,rock,57
Sympathy For The Devil,Guns N' Roses,2020,rock,56
It Might Be Time,Tame Impala,2020,rock,57
Brightside,Arrested Youth,2020,rock,54
Riptide,grandson,2020,rock,50
The Divine Chord,The Avalanches,2020,rock,56
Vampire,Dominic Fike,2020,rock,61
Grey,Two Feet,2020,rock,47
Bad Decisions,The Strokes,2020,rock,62
Headless,Deftones,2020,rock,56
Go West,Pet Shop Boys,2020,rock,52
Wurli,Dominic Fike,2020,rock,61
Free If We Want It,Nothing But Thieves,2020,rock,46
The Children of Coyote Woman,All Them Witches,2020,rock,48
Tisha,Fiolet,2020,rock,43
Scars that I'm Hiding,From Ashes to New,2020,rock,55
A Partir De Hoy,David Bisbal,2020,rock,70
Robbery,Lime Cordiale,2020,rock,63
Urantia,Deftones,2020,rock,55
Good Morning World!,BURNOUT SYNDROMES,2020,rock,58
Vans - King Kavalier Remix,Arrested Youth,2020,rock,46
I Don't Belong,Fontaines D.C.,2020,rock,55
banochka s okurkami,KOSMONAVTOV NET,2020,rock,45
It's All So Incredibly Loud,Glass Animals,2020,rock,53
If You're Too Shy (Let Me Know),The 1975,2020,rock,63
At The Door,The Strokes,2020,rock,59
Lost Horse,Asaf Avidan,2020,rock,51
Politics & Violence,Dominic Fike,2020,rock,60
Hot Sugar,Glass Animals,2020,rock,55
Eternal Summer,The Strokes,2020,rock,59
xXXi_wud_nvrstop_UXXx (Remix) [feat. Tommy Cash & Hannah Diamond],100 gecs,2020,rock,44
Moral Panic,Nothing But Thieves,2020,rock,45
Can't Help Falling in Love,Elvis Presley,2020,rock,54
Tomorrow's Dust,Tame Impala,2020,rock,54
Glimmer,Tame Impala,2020,rock,55
Under The Table,Fiona Apple,2020,rock,54
She Wants Me (To Be Loved),The Happy Fits,2020,rock,57
Visions,Loving,2020,rock,58
Japanese Posters,Rebounder,2020,rock,57
Patience,Chris Cornell,2020,rock,52
Chuzhoe gore,Pornofilmy,2020,rock,41
Zombie - Remastered 2020,The Cranberries,2020,rock,50
Not The Same Anymore,The Strokes,2020,rock,59
Na Moei Lune,Miortvye Del'finy,2020,rock,40
unlasting,LiSA,2020,rock,57
Blue,NewDad,2020,rock,50
Lamb's Wool,Foster The People,2020,rock,58
Shans,Daite tank (!),2020,rock,44
Uroki liubvi,Pornofilmy,2020,rock,41
Roll Me Up and Smoke Me When I Die - Live,Willie Nelson,2020,rock,62
Inochi No Tabekata,Eve,2020,rock,54
BODY/PRISON,HEALTH,2020,rock,46
Be Your Drug,Circa Waves,2020,rock,49
Didn't I,OneRepublic,2020,rock,51
Can I Believe You,Fleet Foxes,2020,rock,55
Teenage Dirtbag (Acoustic),Wheatus,2020,rock,53
Come Here,Dominic Fike,2020,rock,53
Money,Lime Cordiale,2020,rock,60
Zen (with K.Flay & grandson),X Ambassadors,2020,rock,51
The Well,Marcus King,2020,rock,58
Driving In Style,Thundermother,2020,rock,52
Dark Days [Feat. Sylvan Esso],Local Natives,2020,rock,53
Double Negative (Skeleton Milkshake),Dominic Fike,2020,rock,58
Break My Baby,KALEO,2020,rock,48
Wherever You Are,Kodaline,2020,rock,52
Conticinio,Guitarricadelafuente,2020,rock,59
Don't Let Me Down,Milky Chance,2020,rock,55
Shooting Stars - in the Woods,Rival Sons,2020,rock,48
Pivo-Pivo-Pivo,KnyaZz,2020,rock,41
Caution,The Killers,2020,rock,57
Kaufmann und Maid,Saltatio Mortis,2020,rock,52
Al'ternativa,Daite tank (!),2020,rock,43
Wildflowers & Wine,Marcus King,2020,rock,61
Suicide Solution,Ozzy Osbourne,2020,rock,50
One Of Us,Joan Osborne,2020,rock,52
PHOENIX,BURNOUT SYNDROMES,2020,rock,57
Shot In The Dark,AC/DC,2020,rock,51
Move Me,Badflower,2020,rock,50
Miortvyi Gorod,Miortvye Del'finy,2020,rock,38
Di Liu Gan ,Reol,2020,rock,58
We Will Always Love You,The Avalanches,2020,rock,50
Televised Mind,Fontaines D.C.,2020,rock,53
Goodbye to Romance,Ozzy Osbourne,2020,rock,51
Ptaha Fred,The Unsleeping,2020,rock,40
Suka viina!,Skriabin,2020,rock,39
Shampans'ki ochi,Pianoboy,2020,rock,38
Yan ,LiSA,2020,rock,61
Idol (feat. Tech N9ne),Hollywood Undead,2020,rock,52
Diadia Volodia,Pornofilmy,2020,rock,38
Seni Dert Etmeler,Madrigal,2020,rock,68
I Want More,KALEO,2020,rock,49
Zhivi bez ostatka,Noize MC,2020,rock,40
Infinite,Silverstein,2020,rock,53
Uzunlar - V1,Evdeki Saat,2020,rock,64
January,Loving,2020,rock,53
Do I Wanna Know? - Live,Arctic Monkeys,2020,rock,46
With Arms Wide Open,Creed,2020,rock,52
Kokoroyohou,Eve,2020,rock,53
netoroplivaia liubov',Nochnye Snaipery,2020,rock,40
A Hero's Death,Fontaines D.C.,2020,rock,52
Kozaki,Tin' Sontsia,2020,rock,38
Pripustim,The Unsleeping,2020,rock,40
Si Tu La Quieres,David Bisbal,2020,rock,65
"All For Love - From ""The Three Musketeers"" Soundtrack",Bryan Adams,2020,rock,48
Persefona,Vivienne Mort,2020,rock,38
"Peredaite eto Garri Potteru, esli vdrug ego vstretite",Splean,2020,rock,37
A Lucid Dream,Fontaines D.C.,2020,rock,50
"Liar, Liar",The Castaways,2020,rock,44
Me & You Together Song,The 1975,2020,rock,57
Chicken Tenders,Dominic Fike,2020,rock,56
Ataka Mertvetsov,RADIO TAPOK,2020,rock,38
Oh Such A Spring,Fontaines D.C.,2020,rock,47
Blizzard,Erdling,2020,rock,41
Piatnitsa,Dela Povazhnee,2020,rock,40
Booster Seat,Spacey Jane,2020,rock,66
Nothing Compares 2 U,Chris Cornell,2020,rock,51
Ia delaiu shag,The Hatters,2020,rock,39
You Said,Fontaines D.C.,2020,rock,48
On Fire,THE ROOP,2020,rock,38
Za sem'iu pechatiami,Splean,2020,rock,36
Four Out Of Five - Live,Arctic Monkeys,2020,rock,43
Why'd You Only Call Me When You're High? - Live,Arctic Monkeys,2020,rock,43
Ofeliia,Livinston,2020,rock,37
"1,000,000 TIMES feat. chelly (EGOIST)",MY FIRST STORY,2020,rock,51
Nochnye Ved'my,RADIO TAPOK,2020,rock,38
The Rush,JJ Wilde,2020,rock,44
Kokhannia,Pianoboy,2020,rock,37
"Today, Tomorrow and Forever",Sanctus Real,2020,rock,57
On The Road Again - Live,Willie Nelson,2020,rock,58
Skazki,Daite tank (!),2020,rock,39
My Own Soul's Warning,The Killers,2020,rock,55
Comment est ta peine ?,Benjamin Biolay,2020,rock,48
Memory I Don't Mess With,Lee Brice,2020,rock,71
MIaTOI (Remix 2010),KOSMONAVTOV NET,2020,rock,37
Klamstrakur,Hatari,2020,rock,32
We Could Start a War - EP Version,Somebody's Child,2020,rock,51
VENT'ANNI,Maneskin,2020,rock,45
505 - Live,Arctic Monkeys,2020,rock,44
Tombstone,Ocean Alley,2020,rock,59
Crying Lightning - Live,Arctic Monkeys,2020,rock,42
Cancel Me,Dominic Fike,2020,rock,50
Caffeine,Kiro Akiyama,2020,rock,54
"If You Want To Sing Out, Sing Out",Yusuf / Cat Stevens,2020,rock,57
One Of Them Girls,Lee Brice,2020,rock,71
Sweet Child O' Mine,Guns N' Roses,2020,rock,48
uedu daleko,konets solnechnykh dnei,2020,rock,38
There Is Still Pain Left - Laolu Remix,Sophie Hunger,2020,rock,47
Horses,Slomosa,2020,rock,46
Dobroe serdtse,Pornofilmy,2020,rock,34
Pro liubov - Budapest Pop-Mix,Skriabin,2020,rock,32
Per due che come noi,Brunori Sas,2020,rock,62
Bardak,Daite tank (!),2020,rock,37
Uyku,Son Feci Bisiklet,2020,rock,61
Zakokhani zlodiyi,Kozak System,2020,rock,35
circle the drain,Soccer Mommy,2020,rock,55
Altust Olmusum,Mavi Gri,2020,rock,69
1999,NO CIGAR,2020,rock,55
Ministr kul'tury,Golos Omeriki,2020,rock,35
Synrise - Soulwax Remix,GOOSE,2020,rock,42
go-rudentaimuraba- - 2020 Remaster,Sukima Switch,2020,rock,52
Jue Zhan supiritsuto,CHiCO with HoneyWorks,2020,rock,56
Body Like A Back Road,Sam Hunt,2020,rock,71
Chornii Mol'far,Tsviakh,2020,rock,35
Knee Socks - Live,Arctic Monkeys,2020,rock,41
Zai Hui  (produced by Ayase),LiSA,2020,rock,59
"Taka, iak lito",Kozak System,2020,rock,35
L'hymne de nos campagnes 2019,Tryo,2020,rock,49
Pure 90 (Rapping Queen),Shaka Ponk,2020,rock,45
naimononedari - Revenge THE FIRST TAKE,KANA-BOON,2020,rock,52
Dykhaem znou,J:MORS,2020,rock,24
Your Girlfriend,Blossoms,2020,rock,58
Isus Iz Nazareta,Liniia Mannergeima,2020,rock,36
The Devil Went Down to Georgia,Nickelback,2020,rock,55
Left Me Like Summer,Daily J,2020,rock,56
Ya No Mires Atras,Luis Alberto Spinetta,2020,rock,51
Pomalen'ku,Piriatin,2020,rock,35
NAN CHUN,SE SO NEON,2020,rock,56
SPARK-AGAIN,Aimer,2020,rock,52
Gora,The Hardkiss,2020,rock,32
Moments / Tides,Goth Babe,2020,rock,55
Ding,Feuerschwanz,2020,rock,46
Tonight (I Wish I Was Your Boy),The 1975,2020,rock,54
Sometimes,Kodaline,2020,rock,46
Monstr,RADIO TAPOK,2020,rock,34
I See Fire,Feuerschwanz,2020,rock,44
Only Children,Jason Isbell and the 400 Unit,2020,rock,50
sayonaragotsuko,amazarashi,2020,rock,47
SUPERBLOOM,MisterWives,2020,rock,56
Nas dogonit liubov',Pornofilmy,2020,rock,33
The Blessing,Kari Jobe,2020,rock,62
Sonne,RADIO TAPOK,2020,rock,34
Gotika,Vivienne Mort,2020,rock,35
Oksitotsin,Nitso Potvorno,2020,rock,34
Khram,Livinston,2020,rock,34
Maybe It's Ok,We Are Messengers,2020,rock,62
Na sever,shumnye i ugrozhaiushchie vykhodki,2020,rock,36
Vladivostok 2000,Mumiy Troll,2020,rock,35
Arabella - Live,Arctic Monkeys,2020,rock,40
The Blessing - Live,Kari Jobe,2020,rock,60
One Day She's Here,Marcus King,2020,rock,52
Night Drive,Brother Firetribe,2020,rock,40
Khovanki,Tember Blanche,2020,rock,32
How Lucky,Kurt Vile,2020,rock,52
On Me (feat. Ava Max),Thomas Rhett,2020,rock,52
R U Mine? - Live,Arctic Monkeys,2020,rock,40
Tioplaia kitaiskaia kurtka,Golos Omeriki,2020,rock,34
Torch of Liberty,KANA-BOON,2020,rock,49
Nevesta?,Mumiy Troll,2020,rock,33
De Tvoia Liniia,Liniia Mannergeima,2020,rock,35
One Of Them Girls,Lee Brice,2020,rock,65
Staren'kii tramvai,Pikkardiis'ka tertsiia,2020,rock,31
kuda katitsia moia golova?,konets solnechnykh dnei,2020,rock,36
Knockin' Boots,Luke Bryan,2020,rock,69
Spillingardans,Hatari,2020,rock,30
Fantom,RADIO TAPOK,2020,rock,34
Luchshee,Daite tank (!),2020,rock,35
I'll See You In My Dreams,Bruce Springsteen,2020,rock,49
Bring on the Rain,Brother Firetribe,2020,rock,40
Ozero,Liniia Mannergeima,2020,rock,35
Kotiki-Narkotiki,Miortvye Del'finy,2020,rock,31
Peklo,[Bi-2],2020,rock,32
Lost,Somebody's Child,2020,rock,47
Welcome To The Jungle,Guns N' Roses,2020,rock,43
I'm Still in Love,Alton Ellis,2020,rock,52
Famous For (I Believe),Tauren Wells,2020,rock,60
Impossible,Nothing But Thieves,2020,rock,42
Zhali,Jamala,2020,rock,30
Professional,Daite tank (!),2020,rock,35
Impossible (Orchestral Version) [Live at Abbey Road],Nothing But Thieves,2020,rock,48
Kliukva (Remix),Griaz',2020,rock,33
Inappropriate Behaviour,Lime Cordiale,2020,rock,58
De libertate,Stereopalto,2020,rock,32
Medveditsa,Mumiy Troll,2020,rock,32
Where We're Going,Gerry Cinnamon,2020,rock,60
Pro Orkov,Fun Mode,2020,rock,33
Paradise City,Guns N' Roses,2020,rock,42
Priboi,shit shit shit!,2020,rock,35
aviarezhim,Nochnye Snaipery,2020,rock,33
V stavku korabli,Kurgan & Agregat,2020,rock,32
Tu Carcel - En Vivo,Los Enanitos Verdes,2020,rock,61
Vitchizna,Pianoboy,2020,rock,31
Krepost',Daite tank (!),2020,rock,34
Lilacs,Waxahatchee,2020,rock,54
26.04,Noize MC,2020,rock,31
Wings,So!YoON!,2020,rock,57
History of Violence,Theory of a Deadman,2020,rock,48
Neyin Nesi,Dolu Kadehi Ters Tut,2020,rock,63
Pomogi,Dai Darogu!,2020,rock,21
Ao No Waltz,Eve,2020,rock,52
One Margarita,Luke Bryan,2020,rock,66
SNEGOM,KOSMONAVTOV NET,2020,rock,32
akashia,BUMP OF CHICKEN,2020,rock,48
Flip Flop Fliep Flap (Pilfinger Dance Song) - Remix,Sigurd Barrett,2020,rock,39
Baiu-Bai,Dai Darogu!,2020,rock,21
Winter,SE SO NEON,2020,rock,50
Marsh,Miortvye Osy,2020,rock,31
Her Sey Seninle Guzel,Eda Baba,2020,rock,48
Wrong or Right,Surf Trash,2020,rock,53
FIRE BIRD,Roselia,2020,rock,46
Make a Change,Paddy And The Rats,2020,rock,36
Koli mi stanem soboiu - Stereo Version,Okean Elzy,2020,rock,30
Teni Tenime,Sena Sener,2020,rock,63
Svintsovoe Odeialo,Miortvye Del'finy,2020,rock,28
Birakma Kendini,Kaan Bosnak,2020,rock,64
Kiyiv-Berlin-Kiyiv,Fiolet,2020,rock,31
Mara,Teren,2020,rock,30
Darui,J:MORS,2020,rock,20
SMT,Piriatin,2020,rock,31
Awesome God,Shane & Shane,2020,rock,51
"Chervona Kalina - z k/f ""Chervonii""",Haydamaky,2020,rock,27
Severnaia strana,25/17,2020,rock,28
Walking Free,Micah Tyler,2020,rock,49
No,Fontaines D.C.,2020,rock,42
Steny Tsitadeli,Fun Mode,2020,rock,31
Mama mi na krk dala klic,Jaromir Nohavica,2020,rock,40
Znaiu! Budet!,7B,2020,rock,30
Khloptsi-Oligarkhi - Budapest Pop-Mix,Skriabin,2020,rock,28
Prosvistela - Trib'iut DDT,Operation Plasticine,2020,rock,30
Ocean,Platon Karataev,2020,rock,34
PB,Skhozha,2020,rock,29
There I Go,Common Kings,2020,rock,57
Soul,Lee Brice,2020,rock,63
Liudi,Daite tank (!),2020,rock,32
Kto my?,Louna,2020,rock,28
La belle vie - The Good Life,Thomas Dutronc,2020,rock,42
Shinkai,Eve,2020,rock,51
Ohne dich - Remix By Laibach,Rammstein,2020,rock,30
Canter,Gerry Cinnamon,2020,rock,62
Bismarck,RADIO TAPOK,2020,rock,31
Pomoika,shumnye i ugrozhaiushchie vykhodki,2020,rock,32
Who Am I,NEEDTOBREATHE,2020,rock,58
Das Elfte Gebot,Feuerschwanz,2020,rock,47
Tsvety,MINUS18,2020,rock,30
Desde las Alturas,Guitarricadelafuente,2020,rock,47
Dosit' sumnikh pisen',Kozak System,2020,rock,29
Otche,Liniia Mannergeima,2020,rock,31
A thought on an autumn night,JANNABI,2020,rock,55
Fotosessiia,Leningrad,2020,rock,29
Smerch,Lumen,2020,rock,27
Never Again,Dear Sunday,2020,rock,50
Okie From Muskogee - Live,John Anderson,2020,rock,52
Good Night Good Dream,Nerd Connection,2020,rock,54
Seven Nation Army,The White Stripes,2020,rock,50
Net na vas mentov,Dai Darogu!,2020,rock,19
Patience,Guns N' Roses,2020,rock,42
Fantastika,Mumiy Troll,2020,rock,29
Chiornyi plashch,Golos Omeriki,2020,rock,29
Takie devchonki,Mumiy Troll,2020,rock,29
Silver,DMA'S,2020,rock,50
Don't Stop Me Now - Remastered 2011,Queen,2020,rock,36
Kazili Kuyum,Yuzyuzeyken Konusuruz,2020,rock,64
Yildizlara Bak,Yasli Amca,2020,rock,64
Polovinkami Nozhnits,Miortvye Del'finy,2020,rock,26
Uzunlar - V2,Evdeki Saat,2020,rock,50
I'm Not For Everyone,Brothers Osborne,2020,rock,58
Dzhin,Splean,2020,rock,28
Posle menia,shumnye i ugrozhaiushchie vykhodki,2020,rock,30
Kokayin,Zhadan i Sobaky,2020,rock,30
"Leto, iunosti zakat",minimarket,2020,rock,29
Misto,hurtom,2020,rock,26
Besame,David Bisbal,2020,rock,51
Eso Que Tu Me Das,Jarabe De Palo,2020,rock,60
Si Tu La Quieres,David Bisbal,2020,rock,58
Utekai,Mumiy Troll,2020,rock,28
Zviozdochka,Pornofilmy,2020,rock,28
Ne soromno,Marnii,2020,rock,29
Life in the Tropics,Cienfue,2020,rock,46
Garnogo dnia!,ASAFATOV,2020,rock,25
Plastilinovii son,Stereopalto,2020,rock,29
Pesos,The Terrys,2020,rock,51
Hold Out,Sam Fender,2020,rock,49
Nauchite menia liubit',snova ne uspel,2020,rock,29
Eivat enkelitkaan ilman siipia lenna,Maustetytot,2020,rock,39
Liquid Dynamite,NO CIGAR,2020,rock,47
Kak okhuenno nigde ne rabotat',Golos Omeriki,2020,rock,28
Eto po liubvi,Mumiy Troll,2020,rock,29
Iak den' posune nich,Tember Blanche,2020,rock,27
She's Mine,Kip Moore,2020,rock,55
Try Again,Walking On Cars,2020,rock,40
Shoot Me,The Hatters,2020,rock,30
Pliazh,Daite tank (!),2020,rock,30
Dobrii vechir tobi,Pikkardiis'ka tertsiia,2020,rock,25
Leti,Vivienne Mort,2020,rock,27
Perdon,David Bisbal,2020,rock,46
Tu Po Kou ,SUPER BEAVER,2020,rock,52
Baiu-bai,Zveri,2020,rock,31
Mix 'Em With Whiskey,Drake White,2020,rock,51
"Begi, moia zhizn'",Splean,2020,rock,26
Dancing In The Moonlight,King Harvest,2020,rock,36
La Declaracion,El Zar,2020,rock,62
Retro,Daite tank (!),2020,rock,29
Rodimki,Pianoboy,2020,rock,24
ID,Cidergirl,2020,rock,45
Hic Kimsenin Gunahi Yok,Sufle,2020,rock,61
Losers,Balthazar,2020,rock,35
Oh really.,N.Flying,2020,rock,43
anda-guraundo,MY FIRST STORY,2020,rock,45
"Jos mulla ei ois sua, mulla ei ois mitaan",Maustetytot,2020,rock,40
kapli krovi,istochnik,2020,rock,30
"Spasibo, Artiom",GUDTAIMS,2020,rock,27
Chornii,Liniia Mannergeima,2020,rock,28
Ne veru,Dai Darogu!,2020,rock,17
Kriticheskoe myshlenie,Plan Lomonosova,2020,rock,26
Gopnik Kolia,Operation Plasticine,2020,rock,28
aironi,majiko,2020,rock,43
Zaporiz'kii marsh,Tin' Sontsia,2020,rock,26
Amadeo (Still My God),Ryan Stevenson,2020,rock,56
"Zvuk - govno, pivo dorogoe!",Golos Omeriki,2020,rock,27
